Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Indonesia,IDN,100.141535794918,116.757190172061,135.305953399537,137.147564267459,138.998990930519,140.833091738106,142.629462841624,144.379861666952,146.086480787383,147.75219008926,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Iran, Islamic Rep.",IRN,34.6068278936123,40.2904080404725,45.8231759129645,46.3787556177706,46.9571594341708,47.5611833542081,48.1913940666519,48.8494412927626,49.5309014219406,50.222420123284,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Iraq,IRQ,39.8269497222032,53.7247296339484,70.7434610425493,73.4251496592374,76.3762056428309,79.2668300149446,81.9395670397835,84.3314214728393,86.5016316022141,88.5305700354617,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ireland,IRL,51.0084772826245,55.2355058789374,66.4840179997097,66.7663376397155,67.1188271156917,67.6112643344462,68.2531136594571,69.027943097692,69.7835389751778,70.6534475250399,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Isle of Man,IMN,123.329824561404,134.984210526316,148.922807017544,148.30350877193,147.326315789474,146.470175438596,146.024561403509,146.117543859649,146.663157894737,147.50350877193,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Israel,ISR,215.341959334566,290.619223659889,358.863216266174,365.549907578558,372.435304990758,379.653419593346,387.250462107209,394.916820702403,402.647874306839,410.480591497227,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Italy,ITA,192.850430111183,193.608201013226,201.874784116407,202.419653906303,204.779859930645,206.667369279935,206.468287210172,206.117828245053,205.809169103148,205.418372203713,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Jamaica,JAM,223.444690674054,245.124746075716,260.935272391505,262.431394275162,263.962049861496,265.478855032318,266.945614035088,268.350692520776,269.700184672207,270.993074792244,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Japan,JPN,338.828853538124,347.991769547325,350.654908038568,350.090520078999,349.585802062761,349.122229536976,348.751920122888,348.350096006144,347.777586679833,347.073458415624,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Jordan,JOR,40.4112647325476,58.0518245693563,86.3159608019824,91.1339490876323,95.9722910565443,100.473631448524,104.3768303672,107.585796350529,110.150630772697,112.14249831043,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kazakhstan,KAZ,6.05548764677557,5.51306663703374,6.13297810867874,6.21998333148128,6.31016409230655,6.40378004963514,6.49805756195133,6.59112308775049,6.68140015557284,6.76982572137645,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kenya,KEN,41.6849615208912,56.1629071933092,75.8657922479531,77.9130091014513,79.9801261552518,82.0535913834909,84.1240046385775,86.1856239238149,88.2409828864603,90.2994166637383,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kiribati,KIR,89.3827160493827,104.192592592593,129.293827160494,131.320987654321,133.197530864198,135.050617283951,136.950617283951,138.918518518519,140.935802469136,143.020987654321,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Dem. People’s Rep.",PRK,168.53296237854,190.425006228719,204.911427622291,205.968042521385,207.038053317831,208.103579436924,209.150676854082,210.17975251225,211.194958890458,212.190175234615,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Rep.",KOR,444.425492432096,487.332687124197,513.804280275749,515.875583187751,517.612290578727,520.852499230217,523.525547744882,525.370051470148,526.848248951154,529.358501289308,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kosovo,XKX,171.029668411867,156.149536144025,164.508128961146,165.987508037108,166.99889776798,166.507853403141,164.250574079177,163.27335354092,164.508404519151,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kuwait,KWT,117.583838383838,114.765600448934,177.781144781145,187.926655443322,197.888664421998,207.123512906846,215.240796857464,222.046857463524,227.614983164983,232.172390572391,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kyrgyz Republic,KGZ,22.8946819603754,25.5391032325339,28.7518248175182,29.2346193952033,29.8206465067779,30.4249217935349,31.0578727841502,31.6970802919708,32.3159541188738,32.9655891553702,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lao PDR,LAO,18.4509185441941,23.0662911611785,27.5024566724437,27.9225736568458,28.3418717504333,28.7684402079723,29.2078162911612,29.6613778162912,30.125801559792,30.5957842287695,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Latvia,LVA,42.8186860891376,38.0659521967043,33.1142926045016,32.7166130588614,32.362871844348,32.0646831778707,31.8032647153426,31.5139433901576,31.2358957864265,30.9934705693149,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lebanon,LBN,274.002346041056,375.638123167155,508.537927663734,541.410948191593,578.164320625611,612.161290322581,638.580449657869,656.023558162268,665.872238514174,669.494134897361,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lesotho,LSO,56.1181488801054,66.9566534914361,66.0008893280632,66.3698945981555,66.8155138339921,67.306884057971,67.8201910408432,68.3465415019763,68.8870882740448,69.437812911726,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Liberia,LBR,21.5522425249169,29.5728405315615,41.7093334717608,42.9366590531561,44.106457641196,45.2606416112957,46.4309593023256,47.6203073089701,48.8188122923588,50.0309073920266,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Libya,LBY,2.52148913920684,3.04505211589393,3.55060925014492,3.5723825545313,3.59205189992839,3.61573877263376,3.64772326858156,3.6896938972686,3.74002523386794,3.79563238119054,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Liechtenstein,LIE,179.93125,207.4,226.83125,228.84375,230.8375,232.64375,234.1875,235.3625,236.25,236.9375,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lithuania,LTU,58.9955009572431,55.8317804722399,48.3153308737745,47.6716508688507,47.1908895093738,46.805538707103,46.3672785315243,45.7876649942685,45.151861559541,44.7230757742448,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Luxembourg,LUX,..,179.547325102881,213.311522633745,218.496296296296,223.604938271605,228.937860082305,234.404938271605,239.511934156379,245.405761316872,250.185185185185,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Macao SAR, China",MAC,17190.4,21389.1,18422.4748576286,18864.1805418385,19055.1816980769,19478.8120651133,19805.4278801043,20159.0792003315,20479.7699938293,20777.5002607232,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Madagascar,MDG,19.9446865219933,27.1121608143894,37.373932398869,38.4098196100001,39.4658869027157,40.5463853557924,41.6536404262633,42.788552767274,43.9507390855964,45.1398556204881,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Malawi,MWI,99.7507424692406,118.251569792109,158.698684768774,163.300859142978,168.002428935087,172.778319898176,177.612462876538,182.491397963513,187.423207467119,192.440761561307,..,..
